Frequency (Hz)	Level (dB)
3321.496582	-60.422462
3326.879883	-55.906696
3332.263184	-59.416496
3337.646484	-56.535011
3343.029785	-55.131416
3348.413086	-43.659882
3353.796387	-38.792912
3359.179688	-41.927086
3364.562988	-42.853893
3369.946289	-41.342827
3375.329590	-41.247089
3380.712891	-33.978954
3386.096191	-37.445629
3391.479492	-46.675934
3396.862793	-41.734222
3402.246094	-44.536366
3407.629395	-55.448799
3413.012695	-44.181057
3418.395996	-45.754120
3423.779297	-41.602470
3429.162598	-44.300301
3434.545898	-38.474541
3439.929199	-38.579121
3445.312500	-41.310947
3450.695801	-44.819443
3456.079102	-41.761868
3461.462402	-39.016602
3466.845703	-36.834015
3472.229004	-32.102230
3477.612305	-30.802326
3482.995605	-38.118198
3488.378906	-46.324890
3493.762207	-45.005798
3499.145508	-36.786736
3504.528809	-30.882345
3509.912109	-33.557972
3515.295410	-50.113686
3520.678711	-33.367687
3526.062012	-30.485207
3531.445313	-32.433464
3536.828613	-32.965557
3542.211914	-31.154997
3547.595215	-35.531673
3552.978516	-27.757813
3558.361816	-27.903965
3563.745117	-34.952644
3569.128418	-34.523956
3574.511719	-38.762379
3579.895020	-38.833984
3585.278320	-41.159534
3590.661621	-40.277210
3596.044922	-34.155952
3601.428223	-34.154552
3606.811523	-37.904270
3612.194824	-35.484108
3617.578125	-45.716324
3622.961426	-38.295197
3628.344727	-40.713726
3633.728027	-37.429169
3639.111328	-31.740175
3644.494629	-30.391960
3649.877930	-37.463280
3655.261230	-35.925804
3660.644531	-37.704418
3666.027832	-45.546124
3671.411133	-34.117397
3676.794434	-32.192490
3682.177734	-37.886189
3687.561035	-46.426495
3692.944336	-35.827209
3698.327637	-35.717697
3703.710938	-34.060226
3709.094238	-32.682945
3714.477539	-34.173862
3719.860840	-40.609131
3725.244141	-33.114471
3730.627441	-29.149462
3736.010742	-33.222458
3741.394043	-33.637081
3746.777344	-36.779198
3752.160645	-38.377041
3757.543945	-35.346703
3762.927246	-65.835304
3768.310547	-36.322182
3773.693848	-36.058773
3779.077148	-44.477062
3784.460449	-44.257584
3789.843750	-45.266121
3795.227051	-51.100864
3800.610352	-38.652580
3805.993652	-35.743004
3811.376953	-36.683765
3816.760254	-38.062046
3822.143555	-38.073360
3827.526855	-42.462116
3832.910156	-60.350277
3838.293457	-45.716434
3843.676758	-43.962849
3849.060059	-46.799683
3854.443359	-52.409626
3859.826660	-56.972557
3865.209961	-55.545433
3870.593262	-61.413925
3875.976563	-58.706985
3881.359863	-57.700989
3886.743164	-63.000130
3892.126465	-73.199455
3897.509766	-87.512444
3902.893066	-69.708534
3908.276367	-74.883064
3913.659668	-80.316612
3919.042969	-76.147064
3924.426270	-79.190605
3929.809570	-82.663635
3935.192871	-80.305367
3940.576172	-80.874496
3945.959473	-81.404694
3951.342773	-81.141235
3956.726074	-81.337265
3962.109375	-81.410614
3967.492676	-81.494186
3972.875977	-81.577446
3978.259277	-81.665199
3983.642578	-81.752022
3989.025879	-81.835754
3994.409180	-81.918648
3999.792480	-81.995781
4005.175781	-82.078484
4010.559082	-82.155762
4015.942383	-82.240303
4021.325684	-82.315590
4026.708984	-82.384254
4032.092285	-82.471954
4037.475586	-82.530708
4042.858887	-82.621964
4048.242188	-82.679703
4053.625488	-82.761917
4059.008789	-82.826607
4064.392090	-82.898613
4069.775391	-82.974533
4075.158691	-83.033714
4080.541992	-83.104050
4085.925293	-83.171303
4091.308594	-83.244156
4096.691895	-83.302917
4102.075195	-83.367027
4107.458496	-83.435669
4112.841797	-83.498863
4118.225098	-83.561150
4123.608398	-83.628891
4128.991699	-83.680183
4134.375000	-83.746849
4139.758301	-83.811020
4145.141602	-83.864189
4150.524902	-83.924805
4155.908203	-83.990044
4161.291504	-84.041489
4166.674805	-84.096771
4172.058105	-84.164734
4177.441406	-84.207909
4182.824707	-84.269600
4188.208008	-84.330658
4193.591309	-84.382721
4198.974609	-84.437111
4204.357910	-84.485474
4209.741211	-84.546318
4215.124512	-84.585915
4220.507813	-84.652534
4225.891113	-84.697792
4231.274414	-84.754379
4236.657715	-84.797791
4242.041016	-84.854233
4247.424316	-84.906326
4252.807617	-84.951324
4258.190918	-85.003265
4263.574219	-85.060013
