Frequency (Hz)	Level (dB)
2535.534668	-45.599701
2540.917969	-46.383091
2546.301270	-48.122307
2551.684570	-44.737423
2557.067871	-40.273094
2562.451172	-40.028820
2567.834473	-43.716610
2573.217773	-47.517647
2578.601074	-48.615204
2583.984375	-45.393490
2589.367676	-42.538155
2594.750977	-42.640633
2600.134277	-45.291309
2605.517578	-53.070362
2610.900879	-50.521767
2616.284180	-50.782841
2621.667480	-43.589539
2627.050781	-44.351753
2632.434082	-47.001389
2637.817383	-44.893791
2643.200684	-42.783997
2648.583984	-43.275887
2653.967285	-38.881855
2659.350586	-33.860111
2664.733887	-31.894459
2670.117188	-32.837601
2675.500488	-36.509575
2680.883789	-47.108101
2686.267090	-44.552650
2691.650391	-41.264530
2697.033691	-40.947048
2702.416992	-40.765381
2707.800293	-40.500130
2713.183594	-39.208347
2718.566895	-38.007404
2723.950195	-37.202908
2729.333496	-37.973114
2734.716797	-38.054600
2740.100098	-41.425797
2745.483398	-43.161846
2750.866699	-39.696239
2756.250000	-37.490055
2761.633301	-39.292969
2767.016602	-47.859760
2772.399902	-48.522121
2777.783203	-47.086727
2783.166504	-40.347008
2788.549805	-40.520081
2793.933105	-44.915882
2799.316406	-41.168396
2804.699707	-39.810173
2810.083008	-39.014214
2815.466309	-42.725311
2820.849609	-40.806725
2826.232910	-35.634048
2831.616211	-31.655537
2836.999512	-28.348339
2842.382813	-27.472511
2847.766113	-29.246698
2853.149414	-31.656345
2858.532715	-31.830694
2863.916016	-30.378311
2869.299316	-31.241730
2874.682617	-34.072945
2880.065918	-35.908375
2885.449219	-36.957718
2890.832520	-35.305157
2896.215820	-35.357124
2901.599121	-35.143444
2906.982422	-36.297173
2912.365723	-35.784210
2917.749023	-34.426571
2923.132324	-36.137985
2928.515625	-39.699310
2933.898926	-38.671963
2939.282227	-39.340324
2944.665527	-43.316124
2950.048828	-48.763275
2955.432129	-49.078510
2960.815430	-41.059143
2966.198730	-38.836926
2971.582031	-43.692654
2976.965332	-50.249886
2982.348633	-48.346577
2987.731934	-42.563126
2993.115234	-43.996288
2998.498535	-44.631550
3003.881836	-44.718929
3009.265137	-43.356369
3014.648438	-39.719631
3020.031738	-38.663986
3025.415039	-38.469501
3030.798340	-41.435867
3036.181641	-51.431656
3041.564941	-52.345032
3046.948242	-47.835552
3052.331543	-47.828499
3057.714844	-47.727863
3063.098145	-46.315975
3068.481445	-47.169449
3073.864746	-49.913116
3079.248047	-48.132824
3084.631348	-50.095428
3090.014648	-50.162186
3095.397949	-53.393040
3100.781250	-52.865623
3106.164551	-53.297615
3111.547852	-54.971279
3116.931152	-54.194370
3122.314453	-48.191605
3127.697754	-45.607864
3133.081055	-52.867077
3138.464355	-51.716988
3143.847656	-49.540550
3149.230957	-55.518497
3154.614258	-52.730766
3159.997559	-50.297054
3165.380859	-52.049408
3170.764160	-49.446716
3176.147461	-48.463463
3181.530762	-44.554585
3186.914063	-43.836834
3192.297363	-44.358772
3197.680664	-44.562431
3203.063965	-44.339272
3208.447266	-46.764637
3213.830566	-53.823044
3219.213867	-51.814274
3224.597168	-49.691196
3229.980469	-52.361408
3235.363770	-59.548397
3240.747070	-66.182213
3246.130371	-59.328159
3251.513672	-58.839180
3256.896973	-66.214767
3262.280273	-55.331936
3267.663574	-53.419895
3273.046875	-57.361523
3278.430176	-59.184521
3283.813477	-61.046700
3289.196777	-53.957890
3294.580078	-50.107098
3299.963379	-49.224354
3305.346680	-54.531967
3310.729980	-55.889088
3316.113281	-52.111198
3321.496582	-53.160679
3326.879883	-55.599854
3332.263184	-58.680458
3337.646484	-54.889679
3343.029785	-50.534611
3348.413086	-45.361813
3353.796387	-44.375710
3359.179688	-51.766979
3364.562988	-46.565090
3369.946289	-41.356747
3375.329590	-37.513161
3380.712891	-35.856892
3386.096191	-38.540756
3391.479492	-43.351070
3396.862793	-45.398220
3402.246094	-45.613224
3407.629395	-45.674393
3413.012695	-46.315739
3418.395996	-53.445354
3423.779297	-43.752155
3429.162598	-45.694019
3434.545898	-43.003922
